Name,Quantity ,Cost,Link
Gateron EF Grayish,80,$18.19,https://neomacro.in/products/gateron-ef-grayish
Durock Smokey Screw-In Stabilizers V2 (4+1 w/ 6.25u spacebar),1,$18.58,https://stackskb.com/store/durock-smokey-screw-in-stabilizers-v2/
Cherry Profile PBT Keycaps,1,$15.15,https://stackskb.com/store/veekos-gradient-keycaps-cherry-profile-135-keys/
Diode 1N4148 Through - Hole,100,$1.17,https://www.amazon.in/dp/B084ZP5BJ3?ref_=cm_sw_r_cp_ud_dp_YPW3WFYTE31QA18570D1&_encoding=UTF8&psc=1
OLED,1,$1.92,https://www.amazon.in/Electronic-Spices-Display-Module-Interface/dp/B0D9S3W7VM/ref=sr_1_8?sr=8-8
M3 x 20mm Bolt,15,$1.73,https://www.amazon.in/dp/B0CX99K2RL?ref_=cm_sw_r_cp_ud_dp_WPFQM677EMXT3KKH904P&_encoding=UTF8
M3 Nuts,8,$1.16,https://www.amazon.in/dp/B09J92WY5Q?ref_=cm_sw_r_cp_ud_dp_7TEKARN0PX76YMEZR3TW&_encoding=UTF8&psc=1
M3 x 5mm Heatset Insert,25,$2.09,https://www.amazon.in/dp/B0CX1BS7DJ?ref_=cm_sw_r_cp_ud_dp_13RMQGNJ1CXSNS92NXVW
PCB - (Black Color),5,$69.99,
Raspberry Pi Pico,1,$5.19,https://www.amazon.in/Raspberry-Pi-Headers-Soldered-Micro/dp/B08WPNM7JB/ref=sr_1_2?sr=8-2
"Case- top,mid,bot",1,,
